temperature,humidity,mq2_analog,mq9_analog,mq135_analog,rssi,snr,air_quality
28.59,49.61,443,1971,912,-65,8.1,Good
27.88,52.07,472,1931,924,-61,13.6,Good
27.45,57.1,464,2013,937,-58,12.3,Good
30.47,49.12,483,1944,871,-66,14.5,Good
28.05,54.99,488,2174,882,-61,11.9,Good
28.79,60.79,508,2257,884,-63,11.0,Moderate
32.04,46.35,475,1908,888,-59,14.5,Good
30.57,50.16,476,1849,887,-59,10.9,Good
27.15,52.49,488,1824,836,-51,12.9,Good
26.29,57.72,469,2013,917,-61,12.4,Good
30.63,60.97,447,1763,841,-63,15.0,Good
27.97,55.41,501,2049,906,-52,12.1,Good
28.24,55.65,474,1945,837,-59,10.5,Good
28.8,50.81,474,2096,942,-65,13.8,Good
30.2,56.78,486,1826,836,-57,13.4,Good
27.92,47.11,490,1953,891,-59,10.2,Good
30.32,53.08,467,1938,920,-51,11.0,Good
27.56,53.65,430,1943,848,-59,11.7,Good
29.67,61.66,474,2026,966,-60,14.2,Good
32.56,55.2,655,2656,838,-55,10.5,Hazardous
28.63,51.3,474,1986,906,-53,11.0,Good
28.89,48.12,564,2096,1047,-57,12.1,Moderate
28.27,51.29,633,1759,940,-65,13.0,Moderate
28.53,51.0,519,1978,894,-56,13.6,Good
29.74,64.46,447,1949,823,-59,11.3,Good
27.41,58.29,501,2176,976,-68,11.8,Good
30.29,46.77,478,2105,856,-63,11.6,Good
31.1,60.21,519,1898,904,-58,9.7,Moderate
32.71,56.56,624,1881,1003,-53,10.2,Moderate
27.5,54.45,451,2034,865,-61,15.5,Good
30.6,60.71,490,1977,838,-55,12.0,Good
28.22,45.43,473,1965,830,-58,12.7,Good
30.51,51.42,446,2054,870,-62,11.2,Good
29.27,53.55,443,2031,893,-66,12.9,Good
29.03,53.43,482,2141,797,-67,11.8,Good
29.54,48.23,431,1982,898,-50,15.2,Good
32.82,52.75,889,3102,933,-65,11.6,Hazardous
29.99,50.41,536,2125,856,-58,12.9,Good
28.37,51.97,427,2056,908,-61,10.8,Good
42.3,51.59,981,2026,1248,-60,12.0,Hazardous
31.78,51.74,595,2062,988,-59,14.8,Moderate
31.97,48.04,468,1836,945,-71,12.2,Good
26.99,46.49,478,1872,911,-53,14.5,Good
28.28,49.18,494,2031,832,-61,12.0,Good
28.74,55.76,434,2070,879,-64,12.8,Good
27.82,52.55,468,1938,857,-63,13.8,Good
27.95,48.56,489,2047,887,-60,12.4,Good
30.84,47.59,479,1914,903,-66,10.5,Good
28.83,51.41,432,2012,884,-67,12.4,Good
29.17,53.76,480,2024,884,-52,14.0,Good
28.83,63.44,469,2049,856,-57,9.0,Good
28.66,54.77,560,2057,962,-56,14.8,Moderate
28.32,59.28,504,1900,944,-62,12.5,Good
29.35,49.36,450,1894,989,-64,13.0,Moderate
29.14,58.64,516,1861,862,-56,11.4,Good
31.53,54.24,527,2080,893,-51,11.5,Moderate
29.39,51.56,475,1890,828,-53,10.9,Good
29.45,57.81,473,2017,932,-58,11.0,Good
30.46,58.44,502,1927,872,-56,10.2,Good
30.36,71.63,697,2082,1385,-64,13.8,Poor
29.82,56.62,506,2117,917,-60,13.2,Good
30.05,56.21,496,2090,856,-61,13.1,Good
26.36,49.97,479,2210,852,-57,9.6,Good
28.44,49.0,407,1924,915,-62,12.1,Good
27.89,49.79,448,2122,868,-61,12.3,Good
27.96,52.61,423,1908,883,-59,12.6,Good
29.65,56.12,473,2101,888,-57,10.7,Good
31.85,58.85,443,1997,838,-63,13.5,Good
26.8,56.98,475,2149,871,-55,12.3,Good
29.12,52.87,449,2003,762,-62,12.5,Good
28.78,59.84,458,2086,869,-57,15.0,Good
28.39,51.56,437,1939,878,-63,12.3,Good
28.32,52.73,490,2059,886,-53,9.2,Good
28.95,55.89,408,2172,857,-63,13.2,Good
28.37,59.09,589,2012,985,-51,9.7,Moderate
29.84,51.09,593,1811,1022,-60,13.1,Moderate
30.08,46.21,475,1983,885,-61,12.1,Good
28.33,40.31,453,1889,947,-61,11.4,Good
29.97,46.64,493,2073,932,-57,9.2,Good
28.96,52.01,455,1836,884,-62,12.5,Good
29.55,45.79,478,1990,944,-55,11.8,Good
27.59,54.25,536,1851,839,-61,12.8,Good
29.49,53.57,512,2170,913,-53,12.1,Good
28.53,55.78,552,2111,933,-53,12.2,Moderate
29.81,49.55,633,3496,884,-59,10.9,Hazardous
29.7,49.68,463,1898,829,-62,12.2,Good
29.3,45.79,499,2212,887,-72,12.9,Good
30.32,57.36,508,1941,873,-59,14.0,Good
28.39,56.8,492,1934,880,-63,12.0,Good
28.08,51.08,490,2066,884,-63,11.6,Good
32.72,50.9,563,2013,869,-57,10.5,Moderate
27.9,59.73,479,1984,900,-60,11.6,Good
27.47,55.28,474,2015,855,-57,9.9,Good
26.09,58.22,486,1907,833,-53,13.4,Good
32.41,56.6,476,1979,1007,-56,12.4,Moderate
31.12,59.05,510,1893,975,-63,14.5,Moderate
28.61,50.19,423,2050,852,-60,10.2,Good
26.71,59.6,442,1925,876,-73,11.1,Good
26.15,42.86,427,1992,836,-52,10.0,Good
31.55,55.31,444,2121,928,-55,12.0,Moderate
28.29,52.98,501,2148,869,-65,11.9,Good
30.31,53.16,515,1949,895,-62,11.3,Good
25.9,51.32,483,2099,869,-56,12.6,Good
31.73,53.32,441,2126,895,-57,9.7,Good
31.72,37.77,539,2191,1045,-66,11.2,Moderate
30.59,55.95,537,2053,820,-60,10.5,Good
27.71,56.66,451,1844,933,-58,12.7,Good
30.29,43.79,454,2114,887,-63,12.0,Good
32.56,51.39,748,2966,878,-68,10.1,Hazardous
26.35,60.65,466,2001,873,-55,13.0,Good
35.47,52.28,1013,1891,1168,-67,11.4,Hazardous
30.21,49.69,406,1862,869,-58,9.6,Good
31.39,49.26,476,1735,977,-65,12.1,Good
27.3,53.12,523,2046,1033,-67,14.5,Moderate
29.17,50.07,529,1921,933,-65,14.4,Good
28.73,52.77,470,2040,874,-65,11.2,Good
29.42,54.64,477,1970,910,-55,11.1,Good
29.39,53.24,469,1973,872,-60,8.6,Good
31.84,56.73,562,1731,1035,-68,10.0,Moderate
27.9,58.42,485,2030,868,-57,12.0,Good
27.63,52.94,411,2000,849,-55,9.9,Good
31.32,48.74,468,2041,996,-62,10.7,Moderate
27.43,40.27,479,1843,843,-60,10.1,Good
27.14,53.14,459,2193,926,-52,12.8,Good
30.01,48.7,466,1861,852,-57,13.6,Good
26.87,54.62,443,2041,837,-62,13.3,Good
29.37,47.61,467,1878,879,-65,11.7,Good
30.59,67.78,642,1886,1475,-54,11.5,Moderate
29.25,41.92,504,2135,851,-58,13.6,Good
34.1,54.63,480,2086,908,-57,10.1,Good
26.8,55.18,436,2131,837,-55,11.0,Good
32.34,48.85,550,1927,910,-62,11.9,Moderate
29.02,50.86,424,1996,838,-64,10.6,Good
31.2,55.64,601,2013,930,-57,11.8,Moderate
27.82,51.2,530,1814,851,-56,10.9,Good
29.17,50.78,420,2168,864,-59,11.3,Good
29.97,48.1,518,2117,992,-57,13.0,Moderate
28.7,53.46,479,2062,816,-61,12.6,Good
27.05,46.32,448,1917,890,-59,10.7,Good
29.39,55.6,481,2019,890,-60,13.0,Good
29.12,52.42,462,1914,830,-59,11.5,Good
39.49,58.47,1065,1900,1233,-68,11.3,Hazardous
44.13,59.53,982,1776,1475,-67,13.9,Hazardous
30.77,42.39,517,2013,870,-59,11.9,Good
26.72,50.44,487,2174,866,-59,14.1,Good
24.66,50.51,475,2015,906,-66,10.5,Good
30.46,53.35,462,1935,822,-64,10.8,Good
31.33,54.48,478,1888,922,-52,12.4,Good
29.2,44.69,438,1919,851,-58,13.5,Good
31.84,63.05,519,1931,850,-67,12.4,Good
31.36,53.11,573,2038,980,-56,12.4,Moderate
29.47,56.61,490,1974,924,-69,12.9,Good
30.49,44.65,439,1826,900,-57,13.4,Good
27.46,58.38,548,2028,924,-52,9.7,Moderate
26.83,52.0,473,1919,910,-58,12.1,Good
27.96,51.01,442,1968,870,-47,11.9,Good
29.73,46.77,645,2138,1016,-64,12.4,Moderate
30.34,54.52,474,2067,881,-62,12.3,Good
33.36,57.76,543,1973,971,-61,12.1,Moderate
28.52,49.62,610,2081,919,-58,11.6,Moderate
29.82,54.25,432,2099,909,-53,9.7,Good
31.44,49.43,549,1948,976,-65,13.5,Moderate
27.03,45.0,464,2137,825,-59,11.8,Good
28.03,46.05,412,1923,956,-62,9.2,Good
26.53,54.02,479,1937,851,-64,9.3,Good
28.97,52.38,499,1771,890,-54,14.8,Good
30.39,52.09,445,1939,907,-57,12.8,Good
31.06,54.24,441,1996,926,-58,13.9,Good
40.5,49.54,836,2084,1356,-54,11.3,Hazardous
32.04,53.1,473,1929,910,-61,14.4,Good
31.6,48.07,447,1990,1025,-55,11.3,Moderate
31.15,55.97,450,2028,890,-53,10.5,Good
30.34,71.44,678,2217,1388,-60,11.4,Poor
30.41,82.43,570,2119,1404,-61,11.9,Moderate
28.46,62.84,473,1900,824,-67,10.9,Good
31.46,48.49,567,2065,957,-66,10.9,Good
47.41,44.38,966,1929,1304,-58,13.9,Hazardous
27.45,54.56,437,2039,881,-60,13.8,Good
26.77,54.92,520,1863,886,-68,9.2,Good
32.1,50.92,446,1957,857,-58,12.7,Good
27.97,48.31,482,1934,843,-59,12.0,Good
28.33,62.09,462,2070,928,-64,11.5,Good
31.02,45.09,463,1954,919,-63,9.3,Moderate
29.02,43.5,501,2073,871,-62,14.0,Good
27.48,58.58,483,2089,878,-57,12.0,Good
28.6,52.49,422,1982,885,-51,11.9,Good
28.49,48.71,450,2178,827,-62,14.1,Good
30.61,53.22,488,1898,865,-64,14.1,Good
26.8,50.77,438,2100,876,-60,10.2,Good
28.39,51.98,486,1971,927,-59,14.5,Good
27.62,51.22,430,2137,924,-53,13.4,Good
32.52,51.95,586,2082,914,-60,11.7,Moderate
30.82,50.76,609,2057,986,-55,11.9,Moderate
32.47,56.52,463,2026,925,-64,9.4,Moderate
30.25,50.93,479,1677,870,-56,8.6,Good
29.05,45.56,534,2129,874,-67,11.3,Good
28.0,57.54,601,2028,1076,-55,13.6,Moderate
27.31,54.71,467,1832,897,-57,16.0,Good
29.29,42.59,470,1993,866,-64,13.2,Good
30.54,50.81,451,1944,871,-58,11.3,Good
28.38,53.22,469,2023,798,-61,10.1,Good
27.61,47.07,539,1994,918,-56,13.0,Good
29.82,43.1,464,1895,813,-57,8.9,Good
30.6,55.88,546,1881,990,-56,12.5,Moderate
29.36,50.2,436,2200,901,-58,11.8,Good
31.13,52.19,462,1972,922,-69,14.5,Good
28.64,51.95,484,2123,889,-58,12.0,Good
26.24,54.36,494,2080,894,-55,10.7,Good
30.98,33.9,541,2084,880,-64,11.6,Good
29.52,55.09,491,2019,829,-63,13.4,Good
27.87,55.23,460,1920,883,-56,10.3,Good
28.49,53.46,454,1917,869,-60,8.8,Good
29.02,57.26,497,1872,833,-66,12.1,Good
30.39,52.55,447,2002,844,-62,10.0,Good
29.51,53.02,425,1774,866,-65,11.3,Good
27.25,54.3,469,2088,870,-61,14.5,Good
29.41,52.72,495,1894,921,-64,11.8,Good
27.3,47.23,493,1995,949,-61,10.8,Good
28.21,51.23,479,1959,818,-55,13.8,Good
28.36,57.21,441,2237,799,-65,15.3,Good
31.09,52.16,487,1976,1007,-52,11.1,Moderate
33.23,53.06,586,1927,884,-55,11.1,Moderate
31.22,53.3,466,2027,890,-58,12.3,Good
27.5,45.46,480,2100,828,-63,11.8,Good
29.66,47.49,640,1922,962,-59,9.8,Moderate
27.64,45.23,460,2143,892,-53,11.1,Good
27.78,57.1,461,1859,908,-54,12.8,Good
27.25,52.1,607,2091,880,-53,10.7,Moderate
29.21,55.41,438,2158,924,-60,12.5,Good
29.02,43.72,520,2118,828,-52,14.9,Good
32.32,53.82,668,2019,954,-69,11.0,Moderate
27.31,48.68,480,1986,797,-63,14.1,Good
30.6,48.77,511,1973,820,-68,9.4,Good
33.01,57.34,417,1888,825,-61,10.7,Good
32.29,54.98,675,1927,1066,-63,11.9,Moderate
28.79,51.91,515,1915,888,-54,12.0,Good
28.86,50.73,476,2049,923,-53,12.5,Good
26.05,48.85,501,2082,862,-64,11.7,Good
32.01,55.51,578,2019,947,-63,11.5,Moderate
28.82,48.26,508,2043,865,-62,9.7,Good
27.98,48.25,520,2109,852,-57,13.9,Good
26.28,51.66,447,1940,857,-61,11.4,Good
27.0,60.49,473,1890,909,-49,13.8,Good
28.15,58.04,433,1944,877,-57,11.6,Good
29.02,69.23,596,1945,1309,-58,11.9,Poor
27.99,50.16,491,2118,889,-68,11.4,Good
30.64,53.89,393,1998,843,-55,11.0,Good
29.48,46.96,530,2039,872,-53,14.6,Good
29.05,68.84,816,2071,1316,-69,14.4,Poor
30.21,51.86,501,2068,906,-59,11.8,Good
27.27,50.73,435,2126,869,-50,8.9,Good
27.9,50.62,488,2027,848,-63,9.4,Good
28.08,50.01,458,2020,924,-53,15.6,Good
28.84,42.88,434,2091,891,-57,12.7,Good
40.48,56.15,1036,2090,1314,-67,11.8,Hazardous
28.91,49.9,571,1943,927,-67,9.1,Moderate
32.43,50.08,526,1869,952,-52,12.5,Moderate
27.51,47.75,403,2106,930,-56,13.2,Good
33.32,47.13,473,1836,873,-60,12.8,Moderate
30.61,48.78,515,2016,915,-61,12.5,Good
28.49,51.57,421,1987,939,-53,11.7,Good
29.52,53.63,485,1841,916,-61,13.8,Good
29.31,47.81,494,2101,878,-61,13.4,Good
29.2,51.02,526,1928,892,-56,12.1,Good
31.07,59.34,456,2009,863,-64,10.6,Good
30.08,53.24,488,1986,878,-60,11.9,Good
27.37,49.68,453,1961,855,-59,9.5,Good
31.13,50.7,544,2070,928,-59,11.6,Good
30.43,54.2,381,1934,927,-62,11.9,Good
33.83,50.96,793,3179,822,-60,11.9,Hazardous
28.72,50.35,468,2047,838,-59,12.5,Good
30.23,48.01,515,1918,930,-60,14.1,Moderate
27.53,48.05,446,1700,892,-55,13.4,Good
28.5,57.55,467,1957,839,-61,12.5,Good
31.37,46.78,487,2090,919,-61,12.7,Good
29.42,56.52,485,1991,974,-50,12.0,Good
28.72,58.36,431,1975,897,-54,9.8,Good
27.69,45.61,486,2022,863,-59,13.8,Good
27.44,50.05,439,2055,791,-64,8.4,Good
28.14,48.04,523,2062,965,-59,12.3,Good
31.17,51.26,477,1757,939,-58,11.8,Good
30.23,54.77,634,2044,954,-56,10.0,Moderate
28.1,50.56,476,2073,906,-57,11.1,Good
40.22,54.67,1120,1797,1352,-60,12.6,Hazardous
28.73,53.43,417,2037,929,-58,12.3,Good
28.52,57.41,506,1956,884,-58,12.6,Good
27.84,58.01,436,1894,952,-54,10.8,Good
26.44,41.5,584,2156,1087,-53,13.2,Moderate
30.48,46.39,442,2069,907,-63,13.0,Good
29.84,50.45,474,2208,858,-61,12.2,Good
31.2,50.77,444,2197,874,-68,14.8,Good
43.24,65.22,759,1920,1162,-62,12.2,Hazardous
28.56,57.72,452,2080,817,-75,11.8,Good
27.5,48.46,440,1910,815,-70,8.7,Good
32.69,51.11,465,2030,895,-66,11.4,Good
30.95,57.31,406,1912,874,-55,14.3,Good
28.04,50.88,486,2031,880,-50,12.4,Good
31.21,55.42,423,1839,871,-56,11.0,Good
30.35,54.48,620,2116,998,-61,11.7,Moderate
30.22,56.11,527,1979,917,-57,12.9,Good
29.52,53.75,452,1990,834,-64,11.3,Good
27.01,59.28,532,1959,918,-58,11.6,Good
28.25,49.39,457,1937,917,-63,11.1,Good
29.47,53.15,457,2168,844,-60,9.1,Good
40.1,42.22,992,1992,1171,-62,11.5,Hazardous
29.61,49.29,472,2128,898,-63,12.8,Good
35.43,52.31,751,3083,1004,-52,12.0,Hazardous
26.53,52.42,475,1874,858,-52,11.9,Good
28.32,56.25,464,2110,868,-54,14.1,Good
28.69,57.27,418,2012,922,-48,10.1,Good
29.25,48.76,496,1971,841,-65,12.1,Good
29.69,54.37,517,2122,853,-56,11.7,Good
31.66,48.48,465,1809,913,-60,13.8,Good
31.94,51.94,455,2026,1008,-64,8.8,Moderate
27.68,58.46,490,1899,897,-64,11.2,Good
28.93,54.07,513,2026,844,-56,11.2,Good
31.61,51.09,511,2182,816,-58,12.0,Moderate
30.88,51.39,583,1826,1044,-54,11.0,Moderate
30.63,58.57,454,1952,897,-66,12.5,Good
32.52,45.56,532,2006,1040,-64,11.5,Moderate
30.07,59.71,486,1966,904,-60,11.4,Good
28.38,57.37,478,1955,877,-63,11.9,Good
30.31,49.34,500,2061,887,-62,10.6,Good
30.51,53.23,542,2071,843,-60,11.6,Good
28.07,52.97,499,1880,864,-61,12.0,Good
25.67,46.67,474,2041,854,-70,11.1,Good
31.49,43.94,485,1779,1050,-60,9.7,Moderate
27.95,50.34,434,2022,865,-56,13.5,Good
31.02,45.21,461,1995,885,-62,10.2,Good
31.14,57.96,458,1924,900,-53,11.6,Good
31.77,49.32,626,1993,996,-53,13.3,Moderate
30.01,53.29,455,1843,912,-54,14.0,Good
27.99,66.44,627,1932,1603,-58,13.1,Moderate
27.33,45.92,538,2027,901,-57,12.7,Good
30.9,52.6,500,1977,821,-56,10.6,Good
25.23,45.4,473,2120,848,-63,11.9,Good
28.89,50.46,455,2001,896,-45,14.6,Good
29.37,49.44,467,1932,878,-58,12.9,Good
26.05,47.62,513,1889,839,-61,14.1,Good
28.31,48.59,432,1918,940,-52,11.5,Good
28.26,55.34,436,2016,851,-57,13.9,Good
28.55,58.69,473,1992,916,-57,15.5,Good
27.36,46.55,509,1909,932,-65,11.9,Good
29.31,58.29,495,2012,874,-66,12.6,Good
28.86,48.79,448,2007,859,-67,10.5,Good
28.96,58.25,468,2070,868,-59,16.7,Good
27.96,57.75,467,2200,855,-62,13.3,Good
33.49,52.85,779,2693,874,-54,9.3,Hazardous
31.02,46.89,568,1887,999,-55,10.5,Moderate
29.32,50.89,440,2035,889,-64,13.3,Good
30.91,52.02,467,2166,903,-63,11.2,Good
28.94,48.48,453,1997,806,-57,12.4,Good
44.41,53.84,1048,2039,1471,-56,12.6,Hazardous
27.13,62.87,504,2096,824,-64,12.9,Good
30.19,57.95,534,1966,835,-63,12.7,Good
28.7,46.87,492,2070,858,-58,11.6,Good
23.91,51.37,440,1914,833,-55,13.6,Good
29.51,57.49,519,1924,809,-58,9.3,Good
28.8,60.95,472,2055,916,-60,11.4,Good
28.45,60.56,450,1976,908,-56,11.9,Good
28.71,49.49,442,1997,893,-58,11.9,Good
29.48,44.84,477,2059,874,-59,10.4,Good
28.9,50.62,421,2036,887,-62,11.6,Good
27.39,40.71,596,2173,958,-57,13.6,Moderate
33.05,55.73,495,2104,914,-56,12.0,Good
29.22,52.57,499,2209,832,-57,10.5,Good
29.29,52.1,502,1851,887,-60,14.2,Good
28.77,47.12,452,1924,800,-52,11.5,Good
29.72,46.47,471,2050,873,-64,13.2,Good
28.83,40.02,446,1952,930,-63,11.2,Good
27.46,46.54,673,2084,953,-69,10.4,Moderate
31.05,51.07,470,2239,906,-61,12.6,Good
27.45,60.15,512,1907,869,-59,12.2,Good
30.16,55.17,484,2047,892,-58,9.1,Good
27.39,47.05,501,2133,895,-64,10.6,Good
28.03,45.21,479,1872,889,-61,10.3,Good
26.56,48.86,464,1862,831,-52,10.0,Good
28.2,49.14,493,1792,897,-64,8.2,Good
30.15,57.38,442,1973,868,-63,13.8,Good
31.0,56.27,478,1942,770,-59,13.2,Good
27.58,52.86,483,2045,874,-64,13.8,Good
28.93,54.02,543,1976,850,-60,11.9,Good
30.32,45.48,568,2113,1017,-61,11.3,Moderate
32.5,43.81,534,2007,871,-63,12.9,Moderate
30.46,53.71,456,1928,904,-59,13.5,Good
29.93,52.62,477,1799,850,-59,10.1,Good
28.4,61.07,481,2137,837,-57,14.0,Good
30.78,59.64,400,1957,800,-68,11.2,Good
29.88,52.9,694,1984,1131,-69,10.7,Moderate
29.29,55.09,504,1950,981,-62,12.7,Moderate
32.91,52.35,581,2012,1014,-60,11.8,Moderate
32.69,52.67,439,1975,875,-54,10.9,Good
28.81,54.71,459,2006,816,-57,12.6,Good
26.34,48.35,461,1971,849,-59,14.1,Good
29.72,50.4,464,2080,891,-53,12.0,Good
26.76,51.33,434,1990,875,-60,11.6,Good
28.42,57.67,478,1847,875,-52,11.3,Good
27.72,46.1,423,2067,904,-62,10.3,Good
30.31,53.86,478,2138,903,-55,10.7,Good
29.03,55.23,473,2144,852,-59,11.1,Good
27.69,64.33,429,2009,876,-53,10.7,Good
31.2,43.39,473,2249,915,-53,14.6,Good
29.26,51.61,451,2138,848,-61,10.0,Good
25.65,81.74,650,2127,1234,-56,12.5,Moderate
33.41,53.31,586,2101,1034,-56,16.7,Moderate
29.16,50.22,430,1957,915,-58,10.3,Good
44.5,48.07,892,1931,1109,-66,14.5,Hazardous
26.43,50.5,499,1984,861,-60,10.6,Good
31.29,57.22,493,2154,826,-46,8.9,Good
28.51,46.16,438,2137,860,-56,11.3,Good
29.26,53.07,452,1983,846,-56,12.0,Good
29.93,51.67,480,2058,836,-61,12.9,Good
28.21,44.55,585,2046,1100,-66,12.1,Moderate
30.03,49.43,465,1911,913,-58,11.6,Good
29.49,55.86,479,1918,800,-56,11.2,Good
27.61,51.38,473,2094,911,-60,13.1,Good
28.36,52.36,656,1906,1043,-62,12.7,Moderate
30.23,55.22,461,2018,905,-50,12.8,Good
31.77,48.76,430,2050,872,-59,11.7,Good
28.17,75.38,629,2071,1211,-53,12.1,Moderate
27.29,51.48,435,2127,864,-70,11.3,Good
29.41,56.24,512,2011,912,-63,10.4,Good
29.03,72.28,652,2216,1868,-65,12.9,Poor
32.8,47.42,626,2120,977,-63,11.6,Moderate
28.27,42.36,489,2032,908,-59,15.6,Good
28.72,50.52,464,1990,857,-62,10.5,Good
29.83,53.84,503,2021,898,-60,11.6,Good
31.67,47.81,485,1973,941,-65,13.7,Good
29.15,43.35,439,1875,922,-63,10.3,Good
29.7,91.09,663,1805,1529,-52,13.4,Moderate
29.86,49.53,495,1860,836,-56,12.2,Good
26.49,51.03,453,2104,847,-57,11.6,Good
25.62,55.96,490,2023,846,-56,12.9,Good
30.18,50.88,409,1877,887,-52,13.2,Good
30.03,52.9,445,2022,900,-68,11.8,Good
33.5,46.99,584,2088,938,-56,13.7,Moderate
28.51,46.21,485,2151,886,-56,12.9,Good
25.67,58.31,425,1951,838,-63,13.4,Good
30.05,50.76,526,1961,852,-61,10.6,Good
30.7,54.39,604,1933,903,-63,12.7,Moderate
29.87,49.58,472,2026,869,-58,10.7,Good
27.43,46.06,491,2066,817,-68,12.0,Good
28.11,55.89,520,1940,892,-60,13.6,Good
27.3,52.1,450,1993,905,-60,10.9,Good
29.36,45.99,484,1934,830,-64,12.9,Good
29.69,57.39,495,1944,924,-64,12.1,Good
26.91,44.15,467,1912,883,-59,14.0,Good
30.95,53.04,468,2170,832,-67,11.7,Good
27.97,51.21,434,1971,1023,-59,10.6,Moderate
29.28,43.04,473,1984,896,-54,8.5,Good
30.0,49.29,502,1943,826,-60,11.8,Good
29.2,46.27,510,2058,779,-54,12.2,Good
29.13,54.17,459,1908,923,-64,11.1,Good
28.52,56.05,520,2177,919,-53,13.5,Good
29.34,54.89,550,2057,938,-58,10.4,Moderate
29.03,46.93,546,1851,867,-66,12.2,Moderate
29.08,48.75,448,2026,914,-64,12.1,Good
38.87,54.94,804,2843,875,-61,10.0,Hazardous
29.62,50.65,482,1920,805,-62,12.0,Good
26.41,56.11,480,1867,882,-59,12.6,Good
28.55,51.89,456,1806,904,-70,12.4,Good
27.08,46.95,488,2124,882,-61,11.8,Good
29.76,57.91,455,2069,818,-62,11.4,Good
30.73,49.13,492,2053,781,-54,11.2,Good
27.15,47.61,453,1916,834,-61,12.6,Good
30.74,53.55,465,2071,824,-61,12.6,Good
27.6,56.92,484,1962,886,-61,9.4,Good
30.65,71.91,613,1986,1325,-53,11.9,Moderate
42.32,48.85,891,2068,1072,-52,12.5,Hazardous
28.82,62.83,394,1777,872,-56,10.0,Good
43.91,51.19,645,2038,1245,-54,9.1,Hazardous
33.56,52.24,461,1897,1043,-63,14.4,Moderate
36.35,50.73,816,2758,800,-54,13.1,Hazardous
28.44,47.66,468,2115,874,-59,12.6,Good
29.72,49.46,500,1957,932,-59,12.1,Good
32.36,52.58,556,1931,945,-69,11.3,Moderate
29.85,55.25,490,2027,872,-55,13.0,Good
26.78,42.89,454,1987,853,-68,13.2,Good
27.98,49.51,483,1965,876,-58,9.9,Good
29.72,57.79,632,1839,1076,-58,12.1,Poor
26.48,55.41,457,1837,866,-55,12.7,Good
28.76,50.83,446,1952,828,-71,11.1,Good
31.83,49.18,523,1866,1048,-55,10.9,Moderate
30.25,51.55,489,1750,852,-55,9.9,Good
29.94,52.04,597,2030,967,-64,12.6,Moderate
29.51,56.38,479,2009,848,-53,10.3,Good
28.7,53.77,463,2003,862,-56,13.3,Good
36.17,54.94,874,2761,892,-53,13.2,Hazardous
27.64,45.84,480,2009,900,-67,11.5,Good
29.32,58.03,441,2079,865,-63,11.3,Good
28.42,57.11,493,1954,944,-55,14.3,Good
31.66,45.62,625,1835,1420,-65,11.8,Moderate
30.29,46.56,484,1856,928,-63,11.4,Moderate
26.02,61.09,510,2232,830,-62,15.1,Good
27.25,61.3,448,2064,894,-61,10.1,Good
36.04,52.24,764,2940,930,-54,14.6,Hazardous
31.62,50.57,441,2007,863,-55,12.0,Good
25.57,52.91,505,2058,809,-61,11.6,Good
31.67,52.72,518,1897,1013,-63,11.7,Moderate
29.88,54.1,511,2067,952,-56,9.6,Good
30.35,45.44,502,2098,814,-56,12.4,Good
29.01,51.66,493,1917,867,-62,11.4,Good
39.33,47.91,935,2085,1392,-53,14.4,Hazardous
34.51,53.79,623,2107,1109,-56,12.0,Moderate
29.04,53.1,442,1885,848,-60,13.8,Good
29.39,59.59,486,2086,895,-52,12.1,Good
30.34,49.55,491,2019,824,-59,11.4,Good
30.72,47.13,707,3074,805,-51,14.0,Hazardous
28.48,49.0,471,1886,900,-49,11.1,Good
29.47,54.27,518,2081,797,-66,12.6,Good
28.32,56.8,450,2026,836,-57,13.6,Good
27.92,52.49,495,1905,872,-56,13.4,Good
30.71,47.65,478,1868,841,-60,13.7,Good
29.67,54.61,481,1942,831,-61,10.8,Good
29.93,42.95,451,2001,812,-59,12.7,Good
27.21,78.44,729,1928,1576,-60,12.9,Poor
30.36,54.0,465,2161,863,-68,12.4,Good
27.16,43.64,443,2086,850,-57,12.6,Good
25.17,53.98,422,2093,868,-61,13.0,Good
26.39,53.26,455,1952,931,-55,11.0,Good
32.93,55.78,596,2052,936,-52,13.4,Moderate
28.15,54.67,446,2015,873,-58,13.4,Good
32.51,54.3,534,2037,919,-54,12.4,Moderate
28.87,69.64,595,2101,1310,-65,10.5,Poor
32.16,55.6,467,1922,1023,-63,10.2,Moderate
27.91,74.49,724,1873,1408,-66,13.8,Moderate
28.06,51.3,452,1997,872,-60,11.9,Good
28.9,61.6,621,1992,1014,-56,12.8,Moderate
27.11,54.09,486,2114,898,-58,11.5,Good
28.51,60.72,499,2025,902,-56,10.5,Good
27.98,44.33,435,1990,821,-60,11.0,Good
36.48,49.45,786,2931,831,-58,10.7,Hazardous
28.96,48.86,497,2033,905,-60,10.0,Good
50.21,55.58,867,1960,1218,-60,11.5,Hazardous
30.01,50.61,451,2125,838,-50,13.6,Good
31.6,53.12,498,1945,914,-56,11.8,Good
28.81,47.96,456,2063,864,-59,12.4,Good
27.52,62.6,490,2034,804,-56,14.8,Good
27.94,55.79,458,1924,881,-58,14.1,Good
28.36,49.33,478,1974,780,-56,12.8,Good
27.08,48.36,511,2129,897,-63,12.7,Good
29.76,57.42,392,2008,868,-63,12.0,Good
28.79,54.79,492,1914,909,-60,8.9,Good
28.32,51.72,426,1987,856,-58,11.3,Good
